,channel_id,playlist_id,channel_name,subscribers,total_views,total_videos
0,UCIJwWYOfsCfz6PjxbONYXSg,UUIJwWYOfsCfz6PjxbONYXSg,blogilates,8590000,2730969373,1177
1,UCeqR0F3O1V11CiiOaJbd1pw,UUeqR0F3O1V11CiiOaJbd1pw,MattDoesFitness,2210000,364196984,1379
2,UCAxW1XT0iEJo0TYlRfn6rYQ,UUAxW1XT0iEJo0TYlRfn6rYQ,The Body Coach TV by Joe Wicks,2820000,344050484,778
3,UCCgLoMYIyP0U56dEhEL1wXQ,UUCgLoMYIyP0U56dEhEL1wXQ,Chloe Ting,24600000,2966596997,405
4,UCkk2vs5EXLFUMuVyhy7oOMQ,UUkk2vs5EXLFUMuVyhy7oOMQ,POPSUGAR,713000,274279749,3169
5,UCiP6wD_tYlYLYh3agzbByWQ,UUiP6wD_tYlYLYh3agzbByWQ,FitnessBlender,6640000,1274440842,1122
6,UC7aE5B-ZFEAoumyj6FaJ7lg,UU7aE5B-ZFEAoumyj6FaJ7lg,Bradley Martyn,3130000,576281219,1412
7,UChVRfsT_ASBZk10o0An7Ucg,UUhVRfsT_ASBZk10o0An7Ucg,Pamela Reif,9590000,1730852425,231
8,UCe0TLA0EsQbE-MjuHXevj2A,UUe0TLA0EsQbE-MjuHXevj2A,ATHLEAN-X™,13300000,2304640671,1340
9,UCJ48BrODPTg4RJBLNIj9J1Q,UUJ48BrODPTg4RJBLNIj9J1Q,Kayla Itsines,415000,5699119,97
10,UCFKE7WVJfvaHW5q283SxchA,UUFKE7WVJfvaHW5q283SxchA,Yoga With Adriene,12000000,1338360578,691
11,UCyqR7WkL8i1b6xtSssDmW9w,UUyqR7WkL8i1b6xtSssDmW9w,The Fitness Marshall,5150000,1391655526,887
12,UCEtMRF1ywKMc4sf3EXYyDzw,UUEtMRF1ywKMc4sf3EXYyDzw,ScottHermanFitness,2780000,637827864,1855
13,UCnP_T4dI2JYG7BnH42PC9qw,UUnP_T4dI2JYG7BnH42PC9qw,Joanna Soh Official,2970000,282779609,419
14,UCM1Nde-9eorUhq-teaWlgUA,UUM1Nde-9eorUhq-teaWlgUA,XHIT Daily,3230000,541893130,694
