,Video_id,Comments
0,bPL_3_TBnjs,The moment Yes Theory changed forever. 🙌
1,q8EoEjZ65nI,This is the first video that led me to you guys...keep up the great content 👏 👌
2,q8EoEjZ65nI,"Guys, how about supporting Turkey after the earthquake? Did you hear from Derin, is he OK, the family?"
3,q8EoEjZ65nI,The edit 🔥
4,SSStz9JUFuc,"Guys, how about supporting Turkey after the earthquake? Did you hear from Derin, is he OK, the family?"
5,SSStz9JUFuc,Respect
6,0sonrM3OlSk,Y’all have come so far!! The first time I started watching you was like 4 years ago!
7,0sonrM3OlSk,"Guys, how about supporting Turkey after the earthquake? Did you hear from Derin, is he OK, the family?"
8,0sonrM3OlSk,Look like a great time.
9,1SX45lIiE_k,"Guys, how about supporting Turkey after the earthquake? Did you hear from Derin, is he OK, the family?"
10,1SX45lIiE_k,You guys are the most inspirational people ever I want to be just like you ❤️⚡️
11,1SX45lIiE_k,My inspiration and all I want to become when I grow up💫🌻
12,1SX45lIiE_k,I love you guys
13,1SX45lIiE_k,When is the doco released to the public?
14,1SX45lIiE_k,Can I get a hi? Or a pin? I love your vids so much and have been a fan since 2019!
15,MTe2YyysvF4,WAIT WHAT IM FIRST ON YES THEORY PLZ PIN 💖💖💖💖💖💖💖♥️♥️♥️♥️🇦🇺🇦🇺🇦🇺🇦🇺🇵🇱🇵🇱🇵🇱🇮🇳🇮🇳🇮🇳
16,1n2YVLwecMI,Jangan lupa sholat ya Ammar
17,1n2YVLwecMI,"Wow, man😊😗😜"
18,8nKRhZIuBbE,"This was an EXCELLENT episode!  If you haven't already watched it, do yourself a favor and WATCH IT!❤"
19,8nKRhZIuBbE,This video was so wholesome and fun!
20,8nKRhZIuBbE,First.!!! I loved that video btw
21,YJzofo_kf7A,2nd Comment lessss goooooooo nice vid boys good luck for the film
22,YJzofo_kf7A,First.! I want to do that soo bad.!!
23,DwQgkTSEhgI,I miss these kinds of videos
24,DwQgkTSEhgI,Where's Matt and please make such videos
25,DwQgkTSEhgI,When is this video coming?????????
26,TawbT28QwfM,Can’t wait.
27,TawbT28QwfM,Awesome
28,TawbT28QwfM,Can't wait to see it. That song is perfectly chosen for this short. Wauw.
29,TawbT28QwfM,This is so amazing! Thank you guys for always being amazing people and helping others. You really inspire me and I have watched your journey since 2019. Keep up the amazing work!!!!
30,TawbT28QwfM,He’s so strong and I’m so proud of him!!! You guys at Yes theory truly help people’s dreams come true and you restore our faith in humanity so thank you so much for everything you’ve done for the world ❤️
31,TawbT28QwfM,"I saw the ice man trailer and thought about how many people this could impact, you guys are awsome 🔥"
32,TawbT28QwfM,LETS GOOOOO
33,TawbT28QwfM,Congrats To You Guys At Yes Theory! Cannot wait for the future!!! The YES FAM is the BEST FAM on youtube!!!
34,SlhWj_EaZBU,"Guys, how about supporting Turkey and Syria after the earthquake? Did you hear from Derin, is he OK, the family???"
35,SlhWj_EaZBU,that's just truly amazing
36,SlhWj_EaZBU,Like x
37,SlhWj_EaZBU,The Syria video was the best ever
38,SlhWj_EaZBU,This is another excellent use of the shorts. Really really cool video. Gr8 pacing!
39,SlhWj_EaZBU,U guys r the best.!!!
40,8ajjcugMEZ0,"Guys, how about supporting Turkey and Syria after the earthquake? Did you hear from Derin, is he OK, the family?"
41,8ajjcugMEZ0,It’s time to fix the damage caused by war
42,8ajjcugMEZ0,Yes theory come to Lebanon its so worth it. I love your content so much
43,8ajjcugMEZ0,Excited for this weekend's video
44,8ajjcugMEZ0,I’ve just been binge watching your videos when you where in afghan and Iraq and I’ve been so invested in watching more so this is amazing
45,8ajjcugMEZ0,Can't wait
46,8ajjcugMEZ0,"I’m so excited getting the opportunity to watch yes theory’s view of Syria now, it’s going to be so unique and amazing"
47,qCD6EegZEB4,"Haven't seen Amaar/Amaan(Sp) in so long , glad to see you"
48,qCD6EegZEB4,YOOOOOOO THATS SICK
49,gqWtDQmGGRM,"Guys, how about supporting Turkey and Syria after the earthquake? Did you hear from Derin, is he OK, the family?"
50,gqWtDQmGGRM,❤️
51,gqWtDQmGGRM,Yea theory has been evolving in such an interesting direction - keep up your great work guys💪
52,gqWtDQmGGRM,Damnn now this is the honey I should sweeten my tea with
53,gqWtDQmGGRM,Honey makes you high 😂😂😂
54,gqWtDQmGGRM,"I kept asking myself “what video did I miss?” 😂😂😂 so glad I didn’t, looking forward to it!❤️"
55,gqWtDQmGGRM,Omfg I'm so excited
56,gqWtDQmGGRM,Can't wait for the video!
57,gqWtDQmGGRM,That honey must be some good s*** for them to be climbing those sketchy cliffs.
58,gqWtDQmGGRM,Perfect. Sooo excited!! :D
59,gqWtDQmGGRM,Joe Rogan is going to love this one
60,gqWtDQmGGRM,Omggggg the suspension 😩👌🏽🔥 I’m ready for sundayyyyy 🍿
61,gqWtDQmGGRM,Wow I’m psyched for this video! Looks EPIC! 🤩🤩🤩🤩🤩🤩🤩
62,gqWtDQmGGRM,"This is exactly what the shorts should be for! Thanks for listening to the feedback, all the love🫶🏼"
63,gqWtDQmGGRM,Makes me want to watch the video!
64,gqWtDQmGGRM,"Love these shorts, and can't wait for the new video on Sunday!"
65,gqWtDQmGGRM,Cant wait to see this
66,CsXUzFvnyO4,lmfao at logan tho
67,CsXUzFvnyO4,"I dont think these shorts work, as they dont get that many views while they have been promoted quite a lot"
68,OPY6ZFPZ8lk,suggestion: also provide the video link in description
69,OPY6ZFPZ8lk,"I feel like you guys aren't using the shorts format properly for your brand. Your adventures don't fit into shorts, as they're largely about the wider context and emotion that goes into the whole story of the vids. Because of this, and because of the way the vids were originally filmed, the essence of the story is turned into what feels like a cheap little tale rather than the meaningful adventure they were supposed as.

To remedy this you could, a) stop making shorts, or b) reframe your shorts so that instead of trying to get the whole adventure into a minute, you used them as trailers to your videos. Heck, another commenter on this video actually THINKS this IS a trailer. Imagine if you actually made it into one, intentionally.

Anyway, love from the UK. Peace!"
70,OPY6ZFPZ8lk,Is the full video gonna be released soon?
71,OPY6ZFPZ8lk,I want to work for u guys.!!!!! 😂😂😂
72,OPY6ZFPZ8lk,"Guyss go to RAWANDA
sure would love to see the place"
73,k3ANuVSalF0,Damn he still looking good without hair and eyebrows. balls of steel to do that
74,k3ANuVSalF0,"""Man... eyebrows are really important"" 💀"
75,k3ANuVSalF0,Without hair and eyebrows this guy looks completely different.
76,k3ANuVSalF0,gg bois
77,k3ANuVSalF0,Yoooo
78,AVxBsP4zaMI,Yog
79,AVxBsP4zaMI,Ahhh memories
80,AVxBsP4zaMI,Such a good video!
81,AVxBsP4zaMI,"Best video on mr beasts channel, congrats thomas"
82,9UxLr4dpOCY,This is like a year ago
83,9UxLr4dpOCY,Yaaa baby we won
84,9UxLr4dpOCY,Wish he did more of these hide and seek challenges.
85,jszJzFTQbVQ,Bad day guy’s
86,jszJzFTQbVQ,Next.... Yes theory northern lights 😹
87,jszJzFTQbVQ,"Changi is one of the best things about Singapore. Second best is the ferry terminal that takes you to Indonesia 🤫

Jk.

Indian food and the parks are awesome too 🤣"
88,jszJzFTQbVQ,Is this an airport or a luxury hotel?
89,jszJzFTQbVQ,Wow I can’t imagine doing that
90,jszJzFTQbVQ,I remember watching this video it feels like so long ago🥲
91,jszJzFTQbVQ,This video made me want to go to Singapore purely to see the airport 😂
92,jszJzFTQbVQ,One of my favorite yes theory videos
93,ampMGP6GxF8,I remember watching this originally on Snapchat stories years ago 🤯
94,ampMGP6GxF8,Woah creepy 😧
95,ampMGP6GxF8,Loving this channel 💕
96,ampMGP6GxF8,Cool beans 🫘
97,ampMGP6GxF8,Holy hell! 😱😱😱
98,ampMGP6GxF8,"Wow 
Why didn't i see this on the main channel"
99,vYwD7cKSzSU,Nostalgic 😄♥️♥️👌🏻👍🏻
100,vYwD7cKSzSU,I miss this type of yes theory
101,vYwD7cKSzSU,So cool guys🔥
102,vYwD7cKSzSU,You've been to Kansas... Now come to KERALA the LEAST BORING place
103,vYwD7cKSzSU,They went to kansas
104,vYwD7cKSzSU,They went to Kansas
105,vYwD7cKSzSU,They went to Kansas
106,vYwD7cKSzSU,They went to Kansas
107,vYwD7cKSzSU,They went to Kansas
108,vYwD7cKSzSU,They went to Kansas
109,KMWhDBfvmYc,Looks like fun
110,KMWhDBfvmYc,Take me skydiving
111,KMWhDBfvmYc,Damm I'm ready to go again!!!! 2022
112,KMWhDBfvmYc,Ammar's look unlocked so much of nostalgia of that time😭😭
113,KMWhDBfvmYc,I cant imagine doing this myself this is crazy
114,KMWhDBfvmYc,How hasnt this channel blown up yet
115,KMWhDBfvmYc,Awseome!
116,Bfm2zc3Fh8s,Ahh yes cairns so beautiful and a went swimming at the Great Barrier Reef there is even a submarine you can go in it.
117,Bfm2zc3Fh8s,"This is so underrated! You have talent, and I am sure if you keep making content you'll go viral and inspire millions of people!"
118,Bfm2zc3Fh8s,Love it! ❤
119,Bfm2zc3Fh8s,Great vid!
120,Bfm2zc3Fh8s,The first video I ever watched of yes theory and it was love at first glance 😂
121,Bfm2zc3Fh8s,This full video on your page is probably the most emotional/adventurous and stunning frame wise. But the entire channel is basically my favorite of all time in the history of YouTube. I feel we will be good friends later in life. Stay safe and healthy and follow your dreams
122,Bfm2zc3Fh8s,Honestly that still is one of my favourite videos ever
123,Bfm2zc3Fh8s,Matty poo 🥺😭
124,Bfm2zc3Fh8s,I think everyone has dreamt of doing something like that!
125,Bfm2zc3Fh8s,wow wow wow so beautiful!
126,Bfm2zc3Fh8s,"Wow🤩 visit Meghalaya, India"
127,__oQ3O0zSpY,This is so gonna happen. It has to.
128,__oQ3O0zSpY,Literally the best yes theory vid of all time
129,__oQ3O0zSpY,Oh my - that is just Yes Theory gold - so nice to see that video again with Matt ✌️✌️✌️
130,__oQ3O0zSpY,Missing Matt 😔 our hearts 💕
131,__oQ3O0zSpY,Too good 😂😂😂
132,__oQ3O0zSpY,This was my first yestheory video
133,__oQ3O0zSpY,If you dont see me comment again you know what happened lmao
134,__oQ3O0zSpY,Amazing idea 😂
135,__oQ3O0zSpY,First comment babyyyyyy
136,0pKRAwlf_Xs,I love skiing too❤
137,0pKRAwlf_Xs,Beautiful
138,0pKRAwlf_Xs,"I remember,  I cried the first time."
139,0pKRAwlf_Xs,That's beautiful
140,0pKRAwlf_Xs,"What a sad place is humanity without God... When you die, you're gone.
What a sad life is to live without Jesus, you're just awaiting nothing.

Let's pray for her to find Jesus and to have eternal life!"
