,Channel_id,Channel_name,Video_id,Title,Description,Duration,Definition,Caption,Published_at,Views,Likes,Comments
0,UC-nhLOLf7GVWxN2ntqJscmA,Yes Theory Shorts,bPL_3_TBnjs,Making A Fake Justin Bieber Photo Go Viral (Part 2),"🙏🏼 Follow our channels:
⚡️ YES THEORY: https://www.youtube.com/yestheory
⚡️ SEEK DISCOMFORT: https://www.youtube.com/seekdiscomfort

✈ Book an Adventure: https://travel.yestheory.com/

JOIN OUR COMMUNITY
📸 Instagram -  https://www.instagram.com/yestheory/
🐦 Twitter - https://twitter.com/yestheory
🎬  Facebook- https://www.facebook.com/yestheory/

☮️ If you want to join the Yes Fam Facebook group which is 100,000+ of our most engaged and badass community members, you can apply here: 
https://www.facebook.com/groups/yesfam/

📈  Our Most Popular YouTube Videos
🎬  Traveling to the least visited country in the world: https://youtu.be/ODuEl4oNae0
🎬  Becoming Superhuman with Iceman Wim Hof: https://youtu.be/8cvhwquPqJ0
🎬  We Helicopter Bungee Jumped with Will Smith: https://youtu.be/KSu6gRp7UBA

🎙 The Yes Theory Podcast: https://spoti.fi/3sFdq6v

GET IN TOUCH
🌍 Our website -  http://www.yestheory.com 
🌍 Advertise With Us - partnerships@yestheory.com
 
Who are we? 
We believe that life’s greatest moments and deepest connections exist outside of your comfort zone.

Ask us a Question:
Tweet us @yestheory",PT53S,hd,false,2023-03-20T21:44:04Z,2033,115,1
1,UC-nhLOLf7GVWxN2ntqJscmA,Yes Theory Shorts,q8EoEjZ65nI,We hiked to the most isolated house in the world!,"🙏🏼 Follow our channels:
⚡️ YES THEORY: https://www.youtube.com/yestheory
⚡️ SEEK DISCOMFORT: https://www.youtube.com/seekdiscomfort

✈ Book an Adventure: https://travel.yestheory.com/

JOIN OUR COMMUNITY
📸 Instagram -  https://www.instagram.com/yestheory/
🐦 Twitter - https://twitter.com/yestheory
🎬  Facebook- https://www.facebook.com/yestheory/

☮️ If you want to join the Yes Fam Facebook group which is 100,000+ of our most engaged and badass community members, you can apply here: 
https://www.facebook.com/groups/yesfam/

📈  Our Most Popular YouTube Videos
🎬  Traveling to the least visited country in the world: https://youtu.be/ODuEl4oNae0
🎬  Becoming Superhuman with Iceman Wim Hof: https://youtu.be/8cvhwquPqJ0
🎬  We Helicopter Bungee Jumped with Will Smith: https://youtu.be/KSu6gRp7UBA

🎙 The Yes Theory Podcast: https://spoti.fi/3sFdq6v

GET IN TOUCH
🌍 Our website -  http://www.yestheory.com 
🌍 Advertise With Us - partnerships@yestheory.com
 
Who are we? 
We believe that life’s greatest moments and deepest connections exist outside of your comfort zone.

Ask us a Question:
Tweet us @yestheory",PT52S,hd,false,2022-12-11T18:00:27Z,3685,203,3
2,UC-nhLOLf7GVWxN2ntqJscmA,Yes Theory Shorts,SSStz9JUFuc,This guy is a legend...,"🙏🏼 Follow our channels:
⚡️ YES THEORY: https://www.youtube.com/yestheory
⚡️ SEEK DISCOMFORT: https://www.youtube.com/seekdiscomfort

✈ Book an Adventure: https://travel.yestheory.com/

JOIN OUR COMMUNITY
📸 Instagram -  https://www.instagram.com/yestheory/
🐦 Twitter - https://twitter.com/yestheory
🎬  Facebook- https://www.facebook.com/yestheory/

☮️ If you want to join the Yes Fam Facebook group which is 100,000+ of our most engaged and badass community members, you can apply here: 
https://www.facebook.com/groups/yesfam/

📈  Our Most Popular YouTube Videos
🎬  Traveling to the least visited country in the world: https://youtu.be/ODuEl4oNae0
🎬  Becoming Superhuman with Iceman Wim Hof: https://youtu.be/8cvhwquPqJ0
🎬  We Helicopter Bungee Jumped with Will Smith: https://youtu.be/KSu6gRp7UBA

🎙 The Yes Theory Podcast: https://spoti.fi/3sFdq6v

GET IN TOUCH
🌍 Our website -  http://www.yestheory.com 
🌍 Advertise With Us - partnerships@yestheory.com
 
Who are we? 
We believe that life’s greatest moments and deepest connections exist outside of your comfort zone.

Ask us a Question:
Tweet us @yestheory",PT1M,hd,false,2022-12-09T18:00:09Z,1832,137,2
3,UC-nhLOLf7GVWxN2ntqJscmA,Yes Theory Shorts,0sonrM3OlSk,Little peek into our NYC premiere,"🙏🏼 Follow our channels:
⚡️ YES THEORY: https://www.youtube.com/yestheory
⚡️ SEEK DISCOMFORT: https://www.youtube.com/seekdiscomfort

✈ Book an Adventure: https://travel.yestheory.com/

JOIN OUR COMMUNITY
📸 Instagram -  https://www.instagram.com/yestheory/
🐦 Twitter - https://twitter.com/yestheory
🎬  Facebook- https://www.facebook.com/yestheory/

☮️ If you want to join the Yes Fam Facebook group which is 100,000+ of our most engaged and badass community members, you can apply here: 
https://www.facebook.com/groups/yesfam/

📈  Our Most Popular YouTube Videos
🎬  Traveling to the least visited country in the world: https://youtu.be/ODuEl4oNae0
🎬  Becoming Superhuman with Iceman Wim Hof: https://youtu.be/8cvhwquPqJ0
🎬  We Helicopter Bungee Jumped with Will Smith: https://youtu.be/KSu6gRp7UBA

🎙 The Yes Theory Podcast: https://spoti.fi/3sFdq6v

GET IN TOUCH
🌍 Our website -  http://www.yestheory.com 
🌍 Advertise With Us - partnerships@yestheory.com
 
Who are we? 
We believe that life’s greatest moments and deepest connections exist outside of your comfort zone.

Ask us a Question:
Tweet us @yestheory",PT32S,hd,false,2022-12-08T18:00:01Z,2432,183,3
4,UC-nhLOLf7GVWxN2ntqJscmA,Yes Theory Shorts,W9vtfv7DKvs,We put his dating profile on NATIONAL TELEVISION! 📺 #shorts,"🙏🏼 Follow our channels:
⚡️ YES THEORY: https://www.youtube.com/yestheory
⚡️ SEEK DISCOMFORT: https://www.youtube.com/seekdiscomfort

✈ Book an Adventure: https://travel.yestheory.com/

JOIN OUR COMMUNITY
📸 Instagram -  https://www.instagram.com/yestheory/
🐦 Twitter - https://twitter.com/yestheory
🎬  Facebook- https://www.facebook.com/yestheory/

☮️ If you want to join the Yes Fam Facebook group which is 100,000+ of our most engaged and badass community members, you can apply here: 
https://www.facebook.com/groups/yesfam/

📈  Our Most Popular YouTube Videos
🎬  Traveling to the least visited country in the world: https://youtu.be/ODuEl4oNae0
🎬  Becoming Superhuman with Iceman Wim Hof: https://youtu.be/8cvhwquPqJ0
🎬  We Helicopter Bungee Jumped with Will Smith: https://youtu.be/KSu6gRp7UBA

🎙 The Yes Theory Podcast: https://spoti.fi/3sFdq6v

GET IN TOUCH
🌍 Our website -  http://www.yestheory.com 
🌍 Advertise With Us - partnerships@yestheory.com
 
Who are we? 
We believe that life’s greatest moments and deepest connections exist outside of your comfort zone.

Ask us a Question:
Tweet us @yestheory",PT1M,hd,false,2022-12-06T23:49:09Z,2371,128,0
5,UC-nhLOLf7GVWxN2ntqJscmA,Yes Theory Shorts,1SX45lIiE_k,It's been an amazing journey...,"🙏🏼 Follow our channels:
⚡️ YES THEORY: https://www.youtube.com/yestheory
⚡️ SEEK DISCOMFORT: https://www.youtube.com/seekdiscomfort

✈ Book an Adventure: https://travel.yestheory.com/

JOIN OUR COMMUNITY
📸 Instagram -  https://www.instagram.com/yestheory/
🐦 Twitter - https://twitter.com/yestheory
🎬  Facebook- https://www.facebook.com/yestheory/

☮️ If you want to join the Yes Fam Facebook group which is 100,000+ of our most engaged and badass community members, you can apply here: 
https://www.facebook.com/groups/yesfam/

📈  Our Most Popular YouTube Videos
🎬  Traveling to the least visited country in the world: https://youtu.be/ODuEl4oNae0
🎬  Becoming Superhuman with Iceman Wim Hof: https://youtu.be/8cvhwquPqJ0
🎬  We Helicopter Bungee Jumped with Will Smith: https://youtu.be/KSu6gRp7UBA

🎙 The Yes Theory Podcast: https://spoti.fi/3sFdq6v

GET IN TOUCH
🌍 Our website -  http://www.yestheory.com 
🌍 Advertise With Us - partnerships@yestheory.com
 
Who are we? 
We believe that life’s greatest moments and deepest connections exist outside of your comfort zone.

Ask us a Question:
Tweet us @yestheory",PT32S,hd,false,2022-10-14T08:00:01Z,3772,378,6
6,UC-nhLOLf7GVWxN2ntqJscmA,Yes Theory Shorts,MTe2YyysvF4,We pretended to be HARVARD STUDENTS,"🙏🏼 Follow our channels:
⚡️ YES THEORY: https://www.youtube.com/yestheory
⚡️ SEEK DISCOMFORT: https://www.youtube.com/seekdiscomfort

✈ Book an Adventure: https://travel.yestheory.com/

JOIN OUR COMMUNITY
📸 Instagram -  https://www.instagram.com/yestheory/
🐦 Twitter - https://twitter.com/yestheory
🎬  Facebook- https://www.facebook.com/yestheory/

☮️ If you want to join the Yes Fam Facebook group which is 100,000+ of our most engaged and badass community members, you can apply here: 
https://www.facebook.com/groups/yesfam/

📈  Our Most Popular YouTube Videos
🎬  Traveling to the least visited country in the world: https://youtu.be/ODuEl4oNae0
🎬  Becoming Superhuman with Iceman Wim Hof: https://youtu.be/8cvhwquPqJ0
🎬  We Helicopter Bungee Jumped with Will Smith: https://youtu.be/KSu6gRp7UBA

🎙 The Yes Theory Podcast: https://spoti.fi/3sFdq6v

GET IN TOUCH
🌍 Our website -  http://www.yestheory.com 
🌍 Advertise With Us - partnerships@yestheory.com
 
Who are we? 
We believe that life’s greatest moments and deepest connections exist outside of your comfort zone.

Ask us a Question:
Tweet us @yestheory",PT46S,hd,false,2022-10-12T08:00:07Z,2547,160,1
7,UC-nhLOLf7GVWxN2ntqJscmA,Yes Theory Shorts,1n2YVLwecMI,5 Days of Complete Darkness 😨,"🙏🏼 Follow our channels:
⚡️ YES THEORY: https://www.youtube.com/yestheory
⚡️ SEEK DISCOMFORT: https://www.youtube.com/seekdiscomfort

✈ Book an Adventure: https://travel.yestheory.com/

JOIN OUR COMMUNITY
📸 Instagram -  https://www.instagram.com/yestheory/
🐦 Twitter - https://twitter.com/yestheory
🎬  Facebook- https://www.facebook.com/yestheory/

☮️ If you want to join the Yes Fam Facebook group which is 100,000+ of our most engaged and badass community members, you can apply here: 
https://www.facebook.com/groups/yesfam/

📈  Our Most Popular YouTube Videos
🎬  Traveling to the least visited country in the world: https://youtu.be/ODuEl4oNae0
🎬  Becoming Superhuman with Iceman Wim Hof: https://youtu.be/8cvhwquPqJ0
🎬  We Helicopter Bungee Jumped with Will Smith: https://youtu.be/KSu6gRp7UBA

🎙 The Yes Theory Podcast: https://spoti.fi/3sFdq6v

GET IN TOUCH
🌍 Our website -  http://www.yestheory.com 
🌍 Advertise With Us - partnerships@yestheory.com
 
Who are we? 
We believe that life’s greatest moments and deepest connections exist outside of your comfort zone.

Ask us a Question:
Tweet us @yestheory",PT46S,hd,false,2022-10-10T14:05:26Z,1773,119,2
8,UC-nhLOLf7GVWxN2ntqJscmA,Yes Theory Shorts,8nKRhZIuBbE,We Hitchhiked a Cargo Ship!,"🙏🏼 Follow our channels:
⚡️ YES THEORY: https://www.youtube.com/yestheory
⚡️ SEEK DISCOMFORT: https://www.youtube.com/seekdiscomfort

✈ Book an Adventure: https://travel.yestheory.com/

JOIN OUR COMMUNITY
📸 Instagram -  https://www.instagram.com/yestheory/
🐦 Twitter - https://twitter.com/yestheory
🎬  Facebook- https://www.facebook.com/yestheory/

☮️ If you want to join the Yes Fam Facebook group which is 100,000+ of our most engaged and badass community members, you can apply here: 
https://www.facebook.com/groups/yesfam/

📈  Our Most Popular YouTube Videos
🎬  Traveling to the least visited country in the world: https://youtu.be/ODuEl4oNae0
🎬  Becoming Superhuman with Iceman Wim Hof: https://youtu.be/8cvhwquPqJ0
🎬  We Helicopter Bungee Jumped with Will Smith: https://youtu.be/KSu6gRp7UBA

🎙 The Yes Theory Podcast: https://spoti.fi/3sFdq6v

GET IN TOUCH
🌍 Our website -  http://www.yestheory.com 
🌍 Advertise With Us - partnerships@yestheory.com
 
Who are we? 
We believe that life’s greatest moments and deepest connections exist outside of your comfort zone.

Ask us a Question:
Tweet us @yestheory",PT45S,hd,false,2022-09-27T17:00:05Z,2316,174,3
9,UC-nhLOLf7GVWxN2ntqJscmA,Yes Theory Shorts,YJzofo_kf7A,We Took The World's Coldest Ice Bath in the World's Coldest City!,"🙏🏼 Follow our channels:
⚡️ YES THEORY: https://www.youtube.com/yestheory
⚡️ SEEK DISCOMFORT: https://www.youtube.com/seekdiscomfort

✈ Book an Adventure: https://travel.yestheory.com/

JOIN OUR COMMUNITY
📸 Instagram -  https://www.instagram.com/yestheory/
🐦 Twitter - https://twitter.com/yestheory
🎬  Facebook- https://www.facebook.com/yestheory/

☮️ If you want to join the Yes Fam Facebook group which is 100,000+ of our most engaged and badass community members, you can apply here: 
https://www.facebook.com/groups/yesfam/

📈  Our Most Popular YouTube Videos
🎬  Traveling to the least visited country in the world: https://youtu.be/ODuEl4oNae0
🎬  Becoming Superhuman with Iceman Wim Hof: https://youtu.be/8cvhwquPqJ0
🎬  We Helicopter Bungee Jumped with Will Smith: https://youtu.be/KSu6gRp7UBA

🎙 The Yes Theory Podcast: https://spoti.fi/3sFdq6v

GET IN TOUCH
🌍 Our website -  http://www.yestheory.com 
🌍 Advertise With Us - partnerships@yestheory.com
 
Who are we? 
We believe that life’s greatest moments and deepest connections exist outside of your comfort zone.

Ask us a Question:
Tweet us @yestheory",PT44S,hd,false,2022-09-22T17:00:15Z,2482,174,2
